Nama;Email;NIK;Jenis_Dokumen;Tanggal_Permohonan;Status;Tanggal_Selesai
Bambang Pranoto;bambangpranoto22@gmail.com;3019121551;Akta Kematian;03/05/2025;Diproses;03/09/2025
Fitri Andriani;fitriandriani53@gmail.com;7217538959;Akta Kelahiran;07/02/2024;Ditolak;07/06/2024
Lia Setiawan;liasetiawan17@gmail.com;2918190202;Akta Kelahiran;08/10/2024;Diproses;8/13/2024
Nurul Kurniawan;nurulkurniawan53@gmail.com;5209660399;Akta Kematian;06/12/2024;Ditolak;6/17/2024
Hendro Andriani;hendroandriani57@gmail.com;1910061027;Kartu Keluarga;12/31/2024;Diproses;01/03/2025
Yuni Saputra;yunisaputra74@gmail.com;3587148063;Kartu Keluarga;7/18/2024;Ditolak;7/21/2024
Rina Gunawan;rinagunawan12@gmail.com;3186668393;Akta Kelahiran;9/24/2024;Diproses;9/25/2024
Rina Hutapea;rinahutapea91@gmail.com;6172465594;Akta Kelahiran;03/05/2025;Disetujui;03/10/2025
Wati Pranoto;watipranoto67@gmail.com;3157806342;Kartu Keluarga;5/21/2024;Diproses;5/27/2024
Agus Susanto;agussusanto63@gmail.com;2719069512;Akta Kematian;08/04/2024;Ditolak;08/07/2024
Muhammad Hidayat;muhammadhidayat37@gmail.com;6620543625;Kartu Keluarga;11/21/2024;Ditolak;11/23/2024
Nurul Susanto;nurulsusanto41@gmail.com;6270020133;Kartu Keluarga;10/20/2024;Diproses;10/22/2024
Rini Nugroho;rininugroho36@gmail.com;1809313113;KTP;11/24/2024;Ditolak;11/26/2024
Agus Pranoto;aguspranoto16@gmail.com;725508254;Kartu Keluarga;8/13/2024;Diproses;8/18/2024
Agus Saputra;agussaputra48@gmail.com;9277901422;Akta Kelahiran;9/22/2024;Ditolak;9/25/2024
Rina Hidayat;rinahidayat96@gmail.com;9577357413;KTP;10/11/2024;Diproses;10/15/2024
Wati Hartono;watihartono34@gmail.com;8470773367;Kartu Keluarga;12/15/2024;Ditolak;12/21/2024
Fitri Setiawan;fitrisetiawan49@gmail.com;5089725681;Akta Kelahiran;4/15/2025;Disetujui;4/18/2025
Siti Hidayat;sitihidayat32@gmail.com;1221930794;KTP;6/19/2024;Disetujui;6/24/2024
Fitri Susanto;fitrisusanto24@gmail.com;1400586969;KTP;1/28/2025;Ditolak;1/29/2025
Bambang Andriani;bambangandriani65@gmail.com;4404929763;Akta Kelahiran;01/03/2025;Ditolak;01/08/2025
Yuni Susanto;yunisusanto67@gmail.com;5245030188;Akta Kelahiran;10/01/2024;Ditolak;10/02/2024
Wati Hidayat;watihidayat31@gmail.com;3407595262;KTP;04/10/2025;Diproses;04/11/2025
Rini Hartono;rinihartono93@gmail.com;8881260025;Akta Kematian;10/14/2024;Disetujui;10/18/2024
Ani Gunawan;anigunawan32@gmail.com;7757870210;Akta Kelahiran;09/07/2024;Disetujui;09/09/2024
Taufik Gunawan;taufikgunawan86@gmail.com;284075953;Akta Kelahiran;2/24/2025;Disetujui;2/28/2025
Hadi Susanto;hadisusanto43@gmail.com;9997859070;Akta Kematian;1/31/2025;Diproses;02/07/2025
Hadi Prasetyo;hadiprasetyo29@gmail.com;2581320195;Akta Kematian;10/17/2024;Diproses;10/18/2024
Wati Wijaya;watiwijaya63@gmail.com;1272010517;Akta Kematian;01/05/2025;Ditolak;01/08/2025
Ani Nugroho;aninugroho38@gmail.com;6123952869;KTP;08/05/2024;Ditolak;08/09/2024
Rita Setiawan;ritasetiawan78@gmail.com;169135180;KTP;6/24/2024;Disetujui;6/27/2024
Fitri Pranoto;fitripranoto92@gmail.com;6276392408;Akta Kematian;04/10/2025;Disetujui;4/16/2025
Rina Andriani;rinaandriani99@gmail.com;5946739821;Akta Kelahiran;02/06/2025;Diproses;02/07/2025
Wati Prasetyo;watiprasetyo96@gmail.com;5167401795;KTP;2/16/2025;Diproses;2/23/2025
Maya Gunawan;mayagunawan72@gmail.com;9243181812;Kartu Keluarga;6/17/2024;Disetujui;6/18/2024
Agus Pranoto;aguspranoto25@gmail.com;8616290078;Kartu Keluarga;10/23/2024;Diproses;10/30/2024
Ahmad Nugroho;ahmadnugroho55@gmail.com;243694316;KTP;6/17/2024;Diproses;6/18/2024
Susan Andriani;susanandriani41@gmail.com;7762482204;KTP;01/05/2025;Disetujui;01/06/2025
Rina Nugroho;rinanugroho50@gmail.com;7121695819;Akta Kematian;5/19/2024;Diproses;5/25/2024
Adi Saputra;adisaputra66@gmail.com;121326386;KTP;04/04/2025;Ditolak;04/05/2025
Rudi Wijaya;rudiwijaya55@gmail.com;6190357436;Akta Kelahiran;11/23/2024;Ditolak;11/26/2024
Slamet Prasetyo;slametprasetyo64@gmail.com;9174087683;Akta Kematian;2/19/2025;Ditolak;2/21/2025
Muhammad Sirait;muhammadsirait33@gmail.com;4425329148;Kartu Keluarga;5/19/2024;Diproses;5/22/2024
Rini Santoso;rinisantoso47@gmail.com;4965248129;Akta Kelahiran;9/14/2024;Disetujui;9/19/2024
Taufik Sirait;taufiksirait29@gmail.com;9155895191;Kartu Keluarga;09/11/2024;Ditolak;9/16/2024
Erni Hidayat;ernihidayat86@gmail.com;4738680739;KTP;3/27/2025;Ditolak;04/02/2025
Rudi Pranoto;rudipranoto57@gmail.com;7486155819;KTP;4/27/2025;Ditolak;05/03/2025
Maya Santoso;mayasantoso88@gmail.com;8641286443;KTP;06/03/2024;Ditolak;06/06/2024
Rita Hidayat;ritahidayat11@gmail.com;6896343818;KTP;10/01/2024;Diproses;10/04/2024
Hendro Wijaya;hendrowijaya63@gmail.com;7579996014;Akta Kelahiran;01/07/2025;Ditolak;1/13/2025
Wati Andriani;watiandriani26@gmail.com;4545500144;KTP;5/13/2025;Ditolak;5/20/2025
Rina Nugroho;rinanugroho10@gmail.com;6743545237;Akta Kelahiran;5/17/2024;Diproses;5/23/2024
Siti Hidayat;sitihidayat49@gmail.com;9227933967;Akta Kelahiran;10/07/2024;Disetujui;10/14/2024
Ani Hutapea;anihutapea27@gmail.com;1183879952;Akta Kematian;7/29/2024;Disetujui;08/04/2024
Wati Hutapea;watihutapea20@gmail.com;7902854313;Akta Kelahiran;9/14/2024;Disetujui;9/18/2024
Rudi Hartono;rudihartono55@gmail.com;1168320394;Kartu Keluarga;09/06/2024;Ditolak;9/13/2024
Yulio Andriani;yulioandriani42@gmail.com;6170465121;Akta Kematian;09/12/2024;Ditolak;9/18/2024
Susan Susanto;susansusanto97@gmail.com;8050855545;Akta Kematian;11/02/2024;Diproses;11/07/2024
Adi Saputra;adisaputra67@gmail.com;858262413;Kartu Keluarga;08/10/2024;Diproses;08/12/2024
Erni Pranoto;ernipranoto23@gmail.com;8358042766;KTP;12/16/2024;Disetujui;12/22/2024
Rina Andriani;rinaandriani42@gmail.com;4667142503;KTP;02/10/2025;Disetujui;02/12/2025
Maya Saputra;mayasaputra61@gmail.com;1713014205;Akta Kematian;8/15/2024;Diproses;8/22/2024
Lia Santoso;liasantoso71@gmail.com;5655653168;Akta Kematian;04/05/2025;Disetujui;04/06/2025
Rudi Pranoto;rudipranoto94@gmail.com;5165719310;Akta Kematian;10/06/2024;Diproses;10/07/2024
Yuni Prasetyo;yuniprasetyo68@gmail.com;624874553;KTP;07/02/2024;Ditolak;07/07/2024
Indah Santoso;indahsantoso27@gmail.com;2112199426;Akta Kelahiran;4/17/2025;Diproses;4/20/2025
Rini Pranoto;rinipranoto75@gmail.com;9981253094;Akta Kematian;01/03/2025;Diproses;01/04/2025
Iwan Hutapea;iwanhutapea78@gmail.com;3163198116;KTP;12/02/2024;Diproses;12/09/2024
Wati Prasetyo;watiprasetyo42@gmail.com;5144338830;KTP;5/14/2025;Ditolak;5/18/2025
Rudi Setiawan;rudisetiawan46@gmail.com;3654191672;KTP;06/01/2024;Diproses;06/04/2024
Maya Sirait;mayasirait66@gmail.com;2871617072;Akta Kematian;07/02/2024;Ditolak;07/04/2024
Susan Kurniawan;susankurniawan93@gmail.com;2337689418;Akta Kematian;1/18/2025;Disetujui;1/23/2025
Rini Kurniawan;rinikurniawan39@gmail.com;8108465284;Kartu Keluarga;9/20/2024;Disetujui;9/26/2024
Taufik Santoso;taufiksantoso44@gmail.com;7060207228;Akta Kelahiran;7/15/2024;Diproses;7/19/2024
Budi Sirait;budisirait76@gmail.com;4449157993;Kartu Keluarga;10/05/2024;Ditolak;10/08/2024
Iwan Susanto;iwansusanto74@gmail.com;7894702105;Akta Kematian;9/22/2024;Ditolak;9/28/2024
Dedi Hidayat;dedihidayat74@gmail.com;1765291253;Akta Kelahiran;1/14/2025;Diproses;1/16/2025
Iwan Hutapea;iwanhutapea22@gmail.com;7642711588;Akta Kelahiran;09/07/2024;Disetujui;09/09/2024
Iwan Setiawan;iwansetiawan16@gmail.com;4161735265;Akta Kelahiran;2/22/2025;Diproses;2/27/2025
Dedi Hartono;dedihartono43@gmail.com;2747870974;KTP;06/07/2024;Ditolak;06/11/2024
Ani Sirait;anisirait93@gmail.com;5959969230;Kartu Keluarga;7/19/2024;Ditolak;7/20/2024
Yuni Prasetyo;yuniprasetyo79@gmail.com;1024736832;KTP;11/24/2024;Ditolak;11/26/2024
Agus Wijaya;aguswijaya94@gmail.com;2929803493;Akta Kematian;12/25/2024;Ditolak;12/28/2024
Rina Kurniawan;rinakurniawan28@gmail.com;1702425487;Akta Kelahiran;7/16/2024;Disetujui;7/22/2024
Erni Pranoto;ernipranoto40@gmail.com;1515772225;Akta Kelahiran;8/29/2024;Diproses;09/02/2024
Adi Santoso;adisantoso89@gmail.com;7837313628;Akta Kelahiran;7/20/2024;Disetujui;7/21/2024
Muhammad Prasetyo;muhammadprasetyo66@gmail.com;1797422776;Kartu Keluarga;3/17/2025;Ditolak;3/19/2025
Susan Setiawan;susansetiawan39@gmail.com;5893399160;KTP;04/12/2025;Disetujui;4/16/2025
Muhammad Hartono;muhammadhartono79@gmail.com;6679087256;KTP;9/30/2024;Ditolak;10/04/2024
Yulio Andriani;yulioandriani47@gmail.com;3722961652;Kartu Keluarga;9/14/2024;Disetujui;9/17/2024
Bambang Saputra;bambangsaputra90@gmail.com;3902652074;Akta Kematian;5/23/2024;Ditolak;5/24/2024
Rudi Saputra;rudisaputra18@gmail.com;902134940;Akta Kematian;03/08/2025;Ditolak;03/11/2025
Eko Hartono;ekohartono80@gmail.com;5609882954;KTP;07/07/2024;Ditolak;07/11/2024
Indah Prasetyo;indahprasetyo90@gmail.com;8630093333;Akta Kematian;5/30/2024;Diproses;06/01/2024
Budi Susanto;budisusanto20@gmail.com;2152595314;Kartu Keluarga;10/04/2024;Diproses;10/09/2024
Hendro Saputra;hendrosaputra77@gmail.com;2428676111;KTP;9/19/2024;Diproses;9/25/2024
Rini Pranoto;rinipranoto96@gmail.com;7550915735;Akta Kematian;5/28/2024;Disetujui;5/30/2024
Muhammad Kurniawan;muhammadkurniawan89@gmail.com;5264090303;Akta Kelahiran;5/21/2024;Diproses;5/26/2024
Budi Setiawan;budisetiawan25@gmail.com;7480247821;KTP;11/03/2024;Ditolak;11/09/2024
Fitri Santoso;fitrisantoso71@gmail.com;7681717351;Kartu Keluarga;6/18/2024;Ditolak;6/25/2024
Bambang Hidayat;bambanghidayat50@gmail.com;7596145547;Akta Kematian;01/04/2025;Ditolak;01/08/2025
Ani Hidayat;anihidayat56@gmail.com;7398799383;Akta Kematian;6/17/2024;Diproses;6/18/2024
Wati Pranoto;watipranoto56@gmail.com;9309209168;Kartu Keluarga;6/30/2024;Disetujui;07/04/2024
Adi Prasetyo;adiprasetyo57@gmail.com;4660526146;KTP;6/28/2024;Ditolak;6/30/2024
Hendro Prasetyo;hendroprasetyo77@gmail.com;4054263488;Kartu Keluarga;1/21/2025;Ditolak;1/28/2025
Bambang Hutapea;bambanghutapea37@gmail.com;5615972549;Kartu Keluarga;06/03/2024;Disetujui;06/04/2024
Eko Nugroho;ekonugroho43@gmail.com;4542111603;KTP;5/27/2024;Ditolak;5/30/2024
Indah Pranoto;indahpranoto94@gmail.com;152576769;KTP;05/07/2025;Disetujui;05/10/2025
Wati Sirait;watisirait44@gmail.com;4460730532;Kartu Keluarga;5/29/2024;Disetujui;06/05/2024
Dewi Kurniawan;dewikurniawan60@gmail.com;1429524923;Akta Kelahiran;5/17/2024;Ditolak;5/19/2024
Rudi Setiawan;rudisetiawan78@gmail.com;8131752911;Akta Kematian;10/20/2024;Diproses;10/24/2024
Lia Susanto;liasusanto71@gmail.com;1117596911;Kartu Keluarga;5/18/2024;Disetujui;5/25/2024
Maya Susanto;mayasusanto87@gmail.com;241023917;Akta Kematian;7/14/2024;Disetujui;7/16/2024
Iwan Hidayat;iwanhidayat22@gmail.com;7145303844;Akta Kelahiran;6/25/2024;Disetujui;6/27/2024
Wati Susanto;watisusanto69@gmail.com;2698523081;Kartu Keluarga;1/14/2025;Diproses;1/20/2025
Dewi Hartono;dewihartono43@gmail.com;9580771754;Akta Kematian;2/24/2025;Diproses;03/02/2025
Rini Sirait;rinisirait20@gmail.com;3782479824;Akta Kelahiran;6/17/2024;Ditolak;6/23/2024
Agus Hidayat;agushidayat76@gmail.com;4043396940;Kartu Keluarga;06/10/2024;Diproses;6/14/2024
Rudi Hutapea;rudihutapea24@gmail.com;3065581517;Akta Kelahiran;08/12/2024;Ditolak;8/14/2024
Ahmad Pranoto;ahmadpranoto39@gmail.com;6803361596;Kartu Keluarga;5/15/2025;Ditolak;5/16/2025
Dedi Hartono;dedihartono71@gmail.com;3631243597;Akta Kelahiran;4/15/2025;Diproses;4/21/2025
Budi Hartono;budihartono95@gmail.com;2866204067;Akta Kematian;6/20/2024;Ditolak;6/21/2024
Rini Pranoto;rinipranoto49@gmail.com;628719131;Akta Kematian;10/01/2024;Diproses;10/08/2024
Slamet Wijaya;slametwijaya53@gmail.com;3587258709;KTP;1/13/2025;Ditolak;1/14/2025
Hendro Kurniawan;hendrokurniawan34@gmail.com;1172413439;Kartu Keluarga;8/26/2024;Disetujui;09/02/2024
Maya Susanto;mayasusanto85@gmail.com;3863718506;KTP;05/07/2025;Disetujui;05/11/2025
Erni Gunawan;ernigunawan98@gmail.com;9580369580;KTP;5/27/2024;Ditolak;06/03/2024
Susan Wijaya;susanwijaya47@gmail.com;3429877118;Akta Kelahiran;04/05/2025;Disetujui;04/11/2025
Siti Hutapea;sitihutapea91@gmail.com;9051226802;Kartu Keluarga;12/15/2024;Ditolak;12/17/2024
Rita Prasetyo;ritaprasetyo74@gmail.com;8620523276;KTP;11/19/2024;Ditolak;11/21/2024
Dedi Susanto;dedisusanto38@gmail.com;440946436;Akta Kematian;5/25/2024;Disetujui;5/28/2024
Hadi Nugroho;hadinugroho19@gmail.com;1186303799;KTP;8/25/2024;Diproses;8/29/2024
Hendro Hartono;hendrohartono73@gmail.com;2290745274;Kartu Keluarga;02/01/2025;Ditolak;02/04/2025
Lia Pranoto;liapranoto80@gmail.com;2575428604;KTP;11/10/2024;Diproses;11/17/2024
Maya Prasetyo;mayaprasetyo67@gmail.com;9493461150;KTP;2/23/2025;Diproses;2/24/2025
Dewi Hutapea;dewihutapea19@gmail.com;1497500162;KTP;11/24/2024;Disetujui;11/30/2024
Susan Hutapea;susanhutapea21@gmail.com;6463194580;KTP;09/06/2024;Disetujui;9/13/2024
Fitri Sirait;fitrisirait52@gmail.com;3111506733;KTP;04/02/2025;Ditolak;04/06/2025
Indah Setiawan;indahsetiawan20@gmail.com;1597417571;Akta Kelahiran;1/30/2025;Diproses;02/03/2025
Taufik Santoso;taufiksantoso68@gmail.com;6407786018;KTP;12/09/2024;Disetujui;12/13/2024
Agus Hartono;agushartono68@gmail.com;678639057;Akta Kelahiran;11/30/2024;Disetujui;12/05/2024
Maya Santoso;mayasantoso10@gmail.com;5257027661;KTP;12/16/2024;Diproses;12/22/2024
Rudi Prasetyo;rudiprasetyo82@gmail.com;8939035000;Akta Kelahiran;4/13/2025;Ditolak;4/16/2025
Budi Susanto;budisusanto56@gmail.com;6256080992;KTP;1/23/2025;Ditolak;1/24/2025
Yulio Susanto;yuliosusanto50@gmail.com;7483707205;Kartu Keluarga;04/03/2025;Disetujui;04/09/2025
Erni Susanto;ernisusanto60@gmail.com;3817495178;Akta Kelahiran;9/21/2024;Ditolak;9/28/2024
Budi Susanto;budisusanto15@gmail.com;6596459174;Kartu Keluarga;8/23/2024;Disetujui;8/29/2024
Slamet Setiawan;slametsetiawan91@gmail.com;8284507787;Akta Kelahiran;08/08/2024;Ditolak;8/14/2024
Dewi Hutapea;dewihutapea71@gmail.com;8053247782;KTP;4/25/2025;Ditolak;4/30/2025
Slamet Susanto;slametsusanto74@gmail.com;1153052794;Akta Kematian;02/11/2025;Ditolak;02/12/2025
Hadi Hidayat;hadihidayat63@gmail.com;19232532;KTP;12/08/2024;Diproses;12/15/2024
Yuni Pranoto;yunipranoto40@gmail.com;7630732173;Kartu Keluarga;5/28/2024;Diproses;06/04/2024
Maya Gunawan;mayagunawan81@gmail.com;8085611311;Akta Kematian;9/19/2024;Ditolak;9/20/2024
Susan Hutapea;susanhutapea86@gmail.com;9211849748;KTP;11/13/2024;Diproses;11/18/2024
Maya Wijaya;mayawijaya53@gmail.com;9821490880;KTP;11/28/2024;Disetujui;11/29/2024
Yuni Andriani;yuniandriani79@gmail.com;6307890085;Kartu Keluarga;10/03/2024;Disetujui;10/06/2024
Eko Saputra;ekosaputra66@gmail.com;4495576878;Akta Kelahiran;10/08/2024;Ditolak;10/15/2024
Rudi Nugroho;rudinugroho35@gmail.com;8251230792;Akta Kematian;5/27/2024;Ditolak;06/03/2024
Nurul Setiawan;nurulsetiawan64@gmail.com;7744649052;Akta Kelahiran;3/26/2025;Ditolak;3/30/2025
Yulio Hartono;yuliohartono53@gmail.com;6027783669;KTP;02/06/2025;Disetujui;02/09/2025
Hendro Nugroho;hendronugroho38@gmail.com;5472483075;Akta Kematian;05/09/2025;Ditolak;5/14/2025
Maya Kurniawan;mayakurniawan33@gmail.com;8311329161;Akta Kematian;10/08/2024;Diproses;10/13/2024
Budi Santoso;budisantoso46@gmail.com;5815236244;Kartu Keluarga;12/13/2024;Disetujui;12/18/2024
Bambang Nugroho;bambangnugroho55@gmail.com;5931556501;Akta Kematian;12/08/2024;Diproses;12/10/2024
Dewi Setiawan;dewisetiawan87@gmail.com;2023557095;KTP;5/23/2024;Diproses;5/29/2024
Ani Sirait;anisirait62@gmail.com;2841767547;Kartu Keluarga;01/12/2025;Disetujui;1/16/2025
Susan Santoso;susansantoso40@gmail.com;1447687281;KTP;9/23/2024;Disetujui;9/28/2024
Ahmad Nugroho;ahmadnugroho47@gmail.com;7115434285;Kartu Keluarga;9/19/2024;Ditolak;9/24/2024
Fitri Santoso;fitrisantoso33@gmail.com;8909242245;Akta Kematian;2/17/2025;Diproses;2/24/2025
Ani Gunawan;anigunawan81@gmail.com;7126520501;KTP;07/12/2024;Disetujui;7/19/2024
Bambang Setiawan;bambangsetiawan90@gmail.com;1308640181;KTP;11/16/2024;Ditolak;11/21/2024
Wati Hartono;watihartono26@gmail.com;6456018688;Akta Kelahiran;01/03/2025;Ditolak;01/04/2025
Muhammad Hidayat;muhammadhidayat28@gmail.com;1181127537;Kartu Keluarga;01/01/2025;Diproses;01/07/2025
Iwan Andriani;iwanandriani70@gmail.com;5716943706;Akta Kematian;03/04/2025;Diproses;03/11/2025
Rita Setiawan;ritasetiawan56@gmail.com;9664775427;Akta Kelahiran;04/02/2025;Diproses;04/04/2025
Rudi Hidayat;rudihidayat64@gmail.com;4593610199;KTP;7/20/2024;Disetujui;7/25/2024
Siti Gunawan;sitigunawan68@gmail.com;3718772835;KTP;12/18/2024;Diproses;12/23/2024
Hadi Pranoto;hadipranoto14@gmail.com;3823261615;Akta Kematian;6/13/2024;Diproses;6/18/2024
Taufik Sirait;taufiksirait92@gmail.com;5472273295;Akta Kelahiran;08/03/2024;Disetujui;08/06/2024
Indah Pranoto;indahpranoto35@gmail.com;9380212589;Akta Kelahiran;8/16/2024;Ditolak;8/20/2024
Siti Andriani;sitiandriani66@gmail.com;3444789171;Akta Kematian;5/30/2024;Diproses;06/04/2024
Siti Pranoto;sitipranoto28@gmail.com;5034862756;Akta Kelahiran;6/24/2024;Ditolak;6/29/2024
Nurul Prasetyo;nurulprasetyo73@gmail.com;6942062228;KTP;03/11/2025;Ditolak;3/16/2025
Ani Kurniawan;anikurniawan39@gmail.com;9699930472;KTP;12/15/2024;Disetujui;12/18/2024
Adi Susanto;adisusanto66@gmail.com;2291513270;Akta Kematian;1/29/2025;Disetujui;02/05/2025
Ani Sirait;anisirait39@gmail.com;8515075037;KTP;09/07/2024;Ditolak;09/08/2024
Nurul Hidayat;nurulhidayat18@gmail.com;1218966745;KTP;12/16/2024;Disetujui;12/18/2024
Slamet Hartono;slamethartono93@gmail.com;3149211144;Kartu Keluarga;11/12/2024;Disetujui;11/18/2024
Iwan Santoso;iwansantoso11@gmail.com;4082348070;Akta Kematian;04/09/2025;Disetujui;04/12/2025
Susan Nugroho;susannugroho55@gmail.com;5097343515;Kartu Keluarga;4/15/2025;Diproses;4/22/2025
Dedi Nugroho;dedinugroho88@gmail.com;3459183428;Akta Kelahiran;10/26/2024;Ditolak;11/02/2024
Agus Hartono;agushartono14@gmail.com;7793802001;Kartu Keluarga;1/17/2025;Diproses;1/23/2025
Dewi Wijaya;dewiwijaya23@gmail.com;2478744532;Akta Kematian;1/25/2025;Ditolak;1/27/2025
Dedi Saputra;dedisaputra10@gmail.com;8277342843;Akta Kematian;10/26/2024;Ditolak;10/30/2024
Adi Hutapea;adihutapea24@gmail.com;7145682356;KTP;1/18/2025;Disetujui;1/24/2025
Susan Hartono;susanhartono78@gmail.com;8446857411;Kartu Keluarga;04/12/2025;Diproses;4/13/2025
Siti Hidayat;sitihidayat66@gmail.com;6018909034;Akta Kematian;12/11/2024;Diproses;12/12/2024
Yuni Santoso;yunisantoso83@gmail.com;8991446034;Kartu Keluarga;3/23/2025;Diproses;3/29/2025
Slamet Hartono;slamethartono84@gmail.com;8175408847;KTP;07/06/2024;Diproses;07/07/2024
Ahmad Hutapea;ahmadhutapea95@gmail.com;5817722551;Kartu Keluarga;6/18/2024;Ditolak;6/21/2024
Ahmad Nugroho;ahmadnugroho11@gmail.com;9467646108;Akta Kematian;01/10/2025;Disetujui;1/15/2025
Muhammad Hartono;muhammadhartono60@gmail.com;8998186034;Akta Kelahiran;07/04/2024;Ditolak;07/05/2024
Rina Prasetyo;rinaprasetyo15@gmail.com;6475873380;Akta Kelahiran;4/18/2025;Ditolak;4/25/2025
Siti Hutapea;sitihutapea43@gmail.com;5796226479;Akta Kelahiran;02/04/2025;Diproses;02/05/2025
Rudi Sirait;rudisirait60@gmail.com;2844856739;KTP;01/05/2025;Diproses;01/10/2025
Slamet Hutapea;slamethutapea79@gmail.com;4394410683;Akta Kematian;07/03/2024;Diproses;07/07/2024
Ani Hartono;anihartono48@gmail.com;6212431983;KTP;12/01/2024;Diproses;12/07/2024
Rita Hidayat;ritahidayat92@gmail.com;3324287946;Kartu Keluarga;10/17/2024;Disetujui;10/19/2024
Ahmad Susanto;ahmadsusanto70@gmail.com;7624560963;KTP;3/30/2025;Ditolak;04/06/2025
Dewi Nugroho;dewinugroho13@gmail.com;6705378497;Akta Kematian;9/24/2024;Diproses;9/27/2024
Muhammad Hutapea;muhammadhutapea64@gmail.com;3152500424;Akta Kematian;06/07/2024;Ditolak;6/14/2024
Fitri Nugroho;fitrinugroho38@gmail.com;318538296;KTP;5/27/2024;Diproses;5/28/2024
Hendro Pranoto;hendropranoto18@gmail.com;6776913308;Kartu Keluarga;06/01/2024;Disetujui;06/06/2024
Maya Hidayat;mayahidayat60@gmail.com;4018919548;Akta Kematian;8/24/2024;Diproses;8/25/2024
Fitri Susanto;fitrisusanto61@gmail.com;9605700251;Kartu Keluarga;08/09/2024;Diproses;08/11/2024
Adi Sirait;adisirait74@gmail.com;9650457625;Kartu Keluarga;1/19/2025;Diproses;1/25/2025
Erni Setiawan;ernisetiawan68@gmail.com;5845201077;Akta Kelahiran;4/21/2025;Diproses;4/23/2025
Rini Wijaya;riniwijaya83@gmail.com;8945780581;Akta Kematian;04/11/2025;Diproses;4/18/2025
Susan Nugroho;susannugroho56@gmail.com;8124823104;KTP;07/11/2024;Ditolak;7/17/2024
Dedi Nugroho;dedinugroho92@gmail.com;8125253903;KTP;4/24/2025;Disetujui;4/29/2025
Eko Susanto;ekosusanto37@gmail.com;4523094522;KTP;6/14/2024;Diproses;6/16/2024
Rita Hartono;ritahartono44@gmail.com;3471344758;Kartu Keluarga;10/14/2024;Ditolak;10/17/2024
Yuni Sirait;yunisirait29@gmail.com;14972611;Akta Kelahiran;07/11/2024;Ditolak;7/16/2024
Eko Sirait;ekosirait31@gmail.com;1637885866;Kartu Keluarga;05/08/2025;Diproses;5/13/2025
Erni Susanto;ernisusanto28@gmail.com;2031674774;Akta Kelahiran;09/11/2024;Disetujui;09/12/2024
Adi Pranoto;adipranoto80@gmail.com;3906280611;Akta Kematian;3/23/2025;Disetujui;3/29/2025
Budi Sirait;budisirait51@gmail.com;7036115102;KTP;11/30/2024;Ditolak;12/06/2024
Erni Gunawan;ernigunawan25@gmail.com;8082847620;KTP;5/22/2024;Ditolak;5/23/2024
Ahmad Pranoto;ahmadpranoto31@gmail.com;3503400835;KTP;11/06/2024;Ditolak;11/13/2024
Nurul Saputra;nurulsaputra14@gmail.com;2153621967;Akta Kematian;11/20/2024;Ditolak;11/24/2024
Rita Gunawan;ritagunawan38@gmail.com;543795237;KTP;11/10/2024;Disetujui;11/11/2024
Rini Santoso;rinisantoso56@gmail.com;952747129;Kartu Keluarga;10/18/2024;Diproses;10/20/2024
Taufik Sirait;taufiksirait44@gmail.com;4301529539;Akta Kematian;12/03/2024;Disetujui;12/08/2024
Yuni Hutapea;yunihutapea28@gmail.com;7252587169;Akta Kematian;09/10/2024;Ditolak;09/12/2024
Rini Hutapea;rinihutapea17@gmail.com;2344678533;Akta Kematian;11/27/2024;Disetujui;11/30/2024
Slamet Saputra;slametsaputra37@gmail.com;7376268944;Akta Kematian;12/27/2024;Ditolak;12/31/2024
Hendro Gunawan;hendrogunawan21@gmail.com;9615290182;Kartu Keluarga;1/15/2025;Diproses;1/17/2025
Nurul Wijaya;nurulwijaya20@gmail.com;1266432764;Akta Kelahiran;12/24/2024;Ditolak;12/27/2024
Adi Susanto;adisusanto61@gmail.com;5646112503;Akta Kelahiran;5/17/2024;Ditolak;5/21/2024
Adi Nugroho;adinugroho28@gmail.com;9782220551;Kartu Keluarga;10/28/2024;Ditolak;11/02/2024
Rudi Susanto;rudisusanto52@gmail.com;9762006099;Akta Kelahiran;12/31/2024;Disetujui;01/04/2025
Slamet Gunawan;slametgunawan59@gmail.com;4879747695;Akta Kematian;11/30/2024;Ditolak;12/01/2024
Rina Prasetyo;rinaprasetyo29@gmail.com;5224967054;KTP;07/03/2024;Ditolak;07/08/2024
Fitri Nugroho;fitrinugroho57@gmail.com;3957324585;Akta Kematian;1/22/2025;Diproses;1/24/2025
Susan Kurniawan;susankurniawan99@gmail.com;1342445355;Akta Kematian;09/06/2024;Disetujui;09/09/2024
Nurul Nugroho;nurulnugroho52@gmail.com;3372018214;Akta Kematian;12/20/2024;Disetujui;12/26/2024
Agus Pranoto;aguspranoto91@gmail.com;4052100978;Akta Kelahiran;09/01/2024;Disetujui;09/08/2024
Slamet Susanto;slametsusanto46@gmail.com;9270274285;Kartu Keluarga;4/19/2025;Disetujui;4/20/2025
Fitri Kurniawan;fitrikurniawan63@gmail.com;5375247158;Kartu Keluarga;6/28/2024;Disetujui;07/03/2024
Bambang Gunawan;bambanggunawan72@gmail.com;7586144868;Akta Kelahiran;8/17/2024;Ditolak;8/18/2024
